shipment_id,tracking_number,ship_date,estimated_arrival,sender_company,sender_city,sender_country,exporter_id,destination_country,item_type,item_description,hs_code,hs_description,declared_value_usd,declared_value_local,local_currency,actual_value_usd,weight_kg,shipping_company,shipping_method,incoterm,documentation_status,missing_documents,duty_rate,duty_amount_usd,vat_rate,vat_amount_usd,processing_fee_usd,total_landed_cost_usd,compliance_issues,restricted_item,clearance_status
SHIP-46E977B3,UPS6674196799,2025-03-08,2025-03-12,Global Exports Ltd,Milan,KR,KR-458041ADF7,GB,Chemicals,Adhesive,8471.30,Portable computers weighing < 10kg,57.3,45.48,GBP,57.3,6.97,UPS,Ocean Freight,CIP,Incomplete,Commercial Invoice,0,0.0,20,11.46,0.0,68.76,Missing document: Commercial Invoice,Yes,Pending
SHIP-0B8DEBC2,CHI6596404091,2025-03-02,2025-03-13,WorldWide Logistics,Mexico City,IN,IN-A157DC45F5,AU,Machinery,Pump,8483.40,Gears and gearing for machinery,208.1,315.3,AUD,208.1,9.03,ChinaPost,Postal Service,FCA,Complete,None,0,0.0,10,20.81,0.0,228.91,No compliance issues detected,No,Under Review
SHIP-57BB7A91,USP2699063603,2025-02-08,2025-02-16,Osaka Exports Ltd,Yokohama,JP,JP-A16ECB3CB0,CA,Books,Printed Dictionary,4901.99,"Printed books, brochures and similar",82.59,111.61,CAD,82.59,0.48,USPS,Express Courier,CIP,Complete,None,9.86,8.14,5,4.13,10.0,104.86,Missing commercial invoice,No,Pending
SHIP-68CEB990,DEU3783956324,2025-02-09,2025-02-12,California Trading Co.,Houston,US,29-1955570,GB,Automotive Parts,Vehicle Lights,8708.29,Parts and accessories of motor vehicles,254.73,202.17,GBP,254.73,5.6,Deutsche Post,Postal Service,CPT,Incomplete,"Export Declaration, Import License",6.44,16.39,20,50.95,10.0,332.07,"Missing document: Export Declaration, Import License",No,Pending
SHIP-973DD3C3,USP7490390229,2025-03-02,2025-03-05,Cross-Border Shipping,Seoul,TW,TW-0BBD4D7D43,IN,Automotive Parts,Vehicle Transmission,8708.29,Parts and accessories of motor vehicles,832.08,69340.0,INR,832.08,4.54,USPS,Standard Courier,CPT,Incomplete,"Packing List, Certificate of Origin",0,0.0,18,149.77,0.0,981.85,"Missing document: Packing List, Certificate of Origin; Missing EORI number",No,Pending
SHIP-2A94F5D2,FED6839031245,2025-02-27,2025-03-04,Shenzhen Tech Supply,Beijing,CN,83187013X,JP,Food Products,Packaged Coffee,2106.90,Food preparations not elsewhere specified,367.06,54785.07,JPY,367.06,1.63,FedEx,Express Courier,FCA,Complete,None,0,0.0,10,36.71,0.0,403.77,No compliance issues detected,No,Under Review
SHIP-5617F64A,CHI6396536392,2025-03-03,2025-03-11,WorldWide Logistics,Taipei,GB,GB687699807000,DE,Machinery,Pump,8483.40,Gears and gearing for machinery,527.47,488.4,EUR,527.47,14.61,ChinaPost,Ocean Freight,FCA,Complete,None,6.77,35.7,19,100.22,10.0,673.39,No compliance issues detected,No,Under Review
SHIP-46E5C7B6,DHL1749878869,2025-02-12,2025-02-24,Berlin Exports,Munich,DE,DE56429281,CN,Sporting Goods,Sports Soccer Ball,9506.91,Gymnasium or athletics articles and equipment,482.53,3446.64,CNY,482.53,11.91,DHL,Standard Courier,FOB,Complete,None,3.2,15.46,13,62.73,10.0,570.72,No compliance issues detected,No,Cleared
SHIP-5D40C24C,JAP7682493640,2025-02-19,2025-02-22,Munich Trading Group,Frankfurt,DE,DE58096315,FR,Chemicals,Lubricant,8471.30,Portable computers weighing < 10kg,696.81,645.19,EUR,696.81,5.34,Japan Post,Postal Service,FCA,Complete,None,0.88,6.15,20,139.36,10.0,852.33,No compliance issues detected,No,Cleared
SHIP-F19EB4E9,UPS6503956909,2025-02-17,2025-02-20,Cross-Border Shipping,Paris,TW,TW-20C95F574A,JP,Sporting Goods,Sports Soccer Ball,9506.91,Gymnasium or athletics articles and equipment,161.87,24159.7,JPY,161.87,14.12,UPS,Air Freight,EXW,Complete,None,0,0.0,10,16.19,0.0,178.06,No compliance issues detected,No,Under Review
